date,review_count
2025-03-15,1153
2025-03-16,1290
2025-03-17,1278
2025-03-18,1363
2025-03-19,1344
2025-03-20,1353
2025-03-21,1254
2025-03-22,1279
2025-03-24,1183
2025-03-25,1175
2025-03-26,1177
2025-03-27,1237
2025-03-28,2
2025-03-29,3
2025-03-30,3
2025-03-31,606
2025-04-01,6522
2025-04-02,10149
2025-04-03,7764
2025-04-04,6305
2025-04-05,5263
2025-04-06,4945
2025-04-07,4557
2025-04-08,3752
2025-04-09,3712
2025-04-10,3338
2025-04-11,3006
2025-04-12,2759
2025-04-13,2867
2025-04-14,2749
2025-04-15,2360
2025-04-16,2240
2025-04-17,2205
2025-04-18,2296
2025-04-20,2256
2025-04-21,2135
2025-04-22,2226
2025-04-23,2051
2025-04-24,2087
2025-04-25,2070
2025-04-26,1969
2025-04-28,2005
2025-04-29,1928
2025-04-30,1889
2025-05-01,1991
2025-05-02,1850
2025-05-03,1732
2025-05-04,1884
2025-05-05,1750
2025-05-06,1981
2025-05-07,1835
2025-05-08,2009
2025-05-09,1881
2025-05-10,1757
2025-05-11,1888
2025-05-12,1915
2025-05-13,1939
2025-05-14,2044
2025-05-15,1920
2025-05-17,1925
2025-05-18,2100
2025-05-19,2035
2025-05-21,2149
2025-05-22,2242
2025-05-23,2064
2025-05-24,2108
2025-05-25,2226
2025-05-26,2254
2025-05-31,2178
2025-06-01,2337
2025-06-02,2197
2025-06-04,2373
2025-06-05,2515
2025-06-06,2219
2025-06-07,2199
2025-06-08,2322
2025-06-09,1976
2025-06-11,326
2025-06-12,2607
2025-06-14,2654
2025-06-15,2790
2025-06-16,2892
2025-06-19,3824
2025-06-20,4003
2025-06-21,4157
2025-06-22,4090
2025-06-23,3963
2025-06-24,3439
2025-06-25,4003
2025-06-27,3814
2025-06-28,3544
2025-06-29,3902
2025-06-30,3411
2025-07-02,3199
2025-07-03,3186
2025-07-04,3060
2025-07-05,3317
2025-07-06,3330
2025-07-07,2914
2025-07-08,2956
2025-07-09,2897
2025-07-11,3096
2025-07-12,2812
2025-07-13,2776
2025-07-15,2497
2025-07-16,2598
2025-07-17,2608
2025-07-18,2566
2025-07-21,2618
